Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Eric Dickerson*+,RAM,RB,23,16,16,0,0,0,0,0,390,1808,4.64,18,51,404,7.92,2,13,,20,,,328,379.2,391.7,353.7,185,1,1
2,William Andrews*,ATL,FB,28,16,16,0,1,0,0,0,331,1567,4.73,7,59,609,10.32,4,6,,11,,,278,336.6,345.6,307.1,134,2,2
3,John Riggins+,WAS,FB,34,15,15,0,1,0,0,0,375,1347,3.59,24,5,29,5.80,0,5,,24,,,277,281.6,287.1,279.1,133,3,3
4,Todd Christensen*+,RAI,TE,27,16,16,0,0,0,0,0,0,0,,0,92,1247,13.55,12,1,,12,,,196,287.7,291.2,241.7,129,1,4
5,Mike Quick*+,PHI,WR,24,16,16,0,0,0,0,0,0,0,,0,69,1409,20.42,13,1,,13,,,218,286.9,290.4,252.4,128,1,5
6,Roy Green*+,STL,WR,26,16,15,0,0,0,0,0,4,49,12.25,0,78,1227,15.73,14,3,,14,,,209,286.6,291.1,247.6,119,2,6
7,Walter Payton*,CHI,RB,30,16,16,3,6,95,3,2,314,1421,4.53,6,53,607,11.45,2,5,,8,,,258,310.6,321.1,286.1,114,4,7
8,Curt Warner*,SEA,RB,22,16,16,0,0,0,0,0,335,1449,4.33,13,42,325,7.74,1,6,,14,,,255,297.4,306.4,276.4,112,5,8
9,Joe Montana*,SFO,QB,27,16,16,332,515,3910,26,12,61,284,4.66,2,0,0,,0,3,,2,,,274,273.8,293.3,285.8,104,1,9
10,Joe Theismann*+,WAS,QB,34,16,16,276,459,3714,29,11,37,234,6.32,1,0,0,,0,1,,1,,,271,271.0,288.5,282.0,101,2,10
11,Kellen Winslow*,SDG,TE,26,16,16,0,0,0,0,0,0,0,,0,88,1172,13.32,8,3,,8,,,162,250.2,254.7,206.2,96,2,11
12,Carlos Carson*,KAN,WR,25,16,16,1,1,48,1,0,2,20,10.00,0,80,1351,16.89,7,2,,7,,,183,263.0,267.0,223.0,94,3,12
13,Marcus Allen,RAI,RB,23,16,15,4,7,111,3,0,266,1014,3.81,9,68,590,8.68,2,14,,12,,,235,302.8,315.8,268.8,92,6,13
14,James Lofton*,GNB,WR,27,16,16,0,0,0,0,0,9,36,4.00,0,58,1300,22.41,8,0,,8,,,182,239.6,242.6,210.6,92,4,14
15,Lynn Dickey,GNB,QB,34,16,16,289,484,4458,32,29,21,12,0.57,3,0,0,,0,9,,3,,,259,258.5,295.0,287.5,89,3,15
16,Charlie Brown*,WAS,WR,25,15,13,0,0,0,0,0,4,53,13.25,0,78,1225,15.71,8,0,,8,,,176,253.8,256.8,214.8,86,5,16
17,Danny White,DAL,QB,31,16,16,334,533,3980,29,23,18,31,1.72,4,1,15,15.00,1,10,,5,,,254,254.8,285.8,277.3,84,4,17
18,Bill Kenney*,KAN,QB,28,16,16,346,603,4348,24,18,23,59,2.57,3,1,0,0.00,0,7,,3,,,251,251.8,276.3,269.3,81,5,18
19,Steve Largent,SEA,WR,29,15,14,1,1,11,0,0,0,0,,0,72,1074,14.92,11,3,,11,,,171,242.8,247.3,206.8,81,6,19
20,Paul Coffman*,GNB,TE,27,16,16,0,0,0,0,0,0,0,,0,54,814,15.07,11,1,,11,,,146,200.4,203.9,173.4,80,3,20
21,Earl Campbell*,HOU,RB,28,14,14,0,0,0,0,0,322,1301,4.04,12,19,216,11.37,0,4,,12,,,220,238.7,246.7,229.2,76,7,21
22,Joe Cribbs*,BUF,RB,25,16,16,1,2,3,0,0,263,1131,4.30,3,57,524,9.19,7,6,,10,,,220,276.6,285.6,248.1,76,8,22
23,Mark Duper*,MIA,WR,24,16,11,0,0,0,0,0,0,0,,0,51,1003,19.67,10,0,,10,,,160,211.3,214.3,185.8,71,7,23
24,Tony Dorsett*,DAL,RB,29,16,16,0,1,0,0,0,289,1321,4.57,8,40,287,7.18,1,5,,9,,,210,249.8,258.3,229.8,67,9,24
25,Ozzie Newsome,CLE,TE,27,16,16,0,0,0,0,0,0,0,,0,89,970,10.90,6,0,,6,,,133,222.0,225.0,177.5,67,4,25
26,Tim Smith,HOU,WR,26,16,16,0,0,0,0,0,2,16,8.00,0,83,1176,14.17,6,1,,6,,,154,237.2,240.7,195.7,65,8,26
27,Mike Pruitt,CLE,FB,29,15,14,0,0,0,0,0,293,1184,4.04,10,30,157,5.23,2,4,,12,,,202,232.1,240.1,217.1,59,10,27
28,Ottis Anderson,STL,RB,26,15,15,0,0,0,0,0,296,1270,4.29,5,54,459,8.50,1,10,,6,,,199,252.9,263.9,225.9,56,11,28
29,Chuck Muncie,SDG,RB,30,15,12,0,0,0,0,0,235,886,3.77,12,42,396,9.43,1,8,,13,,,198,240.2,250.2,219.2,55,12,29
30,Steve Watson,DEN,WR,26,16,16,0,0,0,0,0,3,17,5.67,0,59,1133,19.20,5,1,,5,,,144,203.0,206.5,173.5,55,9,30
31,Earnest Gray,NYG,WR,26,16,16,0,0,0,0,0,0,0,,0,78,1139,14.60,5,0,,5,,,144,221.9,224.9,182.9,54,10,31
32,Cris Collinsworth*,CIN,WR,24,14,14,0,0,0,0,0,2,2,1.00,0,66,1130,17.12,5,2,,5,,,141,207.2,211.2,174.2,52,11,32
33,Curtis Dickey,BAL,RB,27,16,16,0,0,0,0,0,254,1122,4.42,4,24,483,20.13,3,9,,7,,,194,217.5,228.0,205.5,50,13,33
34,Dwight Clark,SFO,WR,26,16,13,0,1,0,0,0,3,18,6.00,0,70,840,12.00,8,0,,8,,,134,203.8,206.8,168.8,44,12,34
35,Willie Gault,CHI,WR,23,16,13,0,0,0,0,0,4,31,7.75,0,40,836,20.90,8,1,,8,,,134,173.7,177.2,153.7,44,13,35
36,Billy Sims,DET,RB,28,13,12,0,0,0,0,0,220,1040,4.73,7,42,419,9.98,0,6,,7,,,182,223.9,232.9,202.9,39,14,36
37,Wesley Walker,NYJ,WR,28,16,16,0,0,0,0,0,0,0,,0,61,868,14.23,7,0,,7,,,129,189.8,192.8,159.3,39,14,37
38,Steve Bartkowski,ATL,QB,31,14,14,274,432,3167,22,5,16,38,2.38,1,0,0,,0,7,,1,,,207,207.5,219.0,212.5,38,6,38
39,Roger Craig,SFO,FB,23,16,13,0,0,0,0,0,176,725,4.12,8,48,427,8.90,4,6,,12,,,181,229.2,238.2,205.2,38,15,39
40,Tony Collins*,NWE,RB,24,16,16,0,0,0,0,0,219,1049,4.79,10,27,257,9.52,0,10,,10,,,181,207.6,218.6,194.1,37,16,40
41,John Jefferson,GNB,WR,27,16,16,0,0,0,0,0,0,0,,0,57,830,14.56,7,1,,7,,,124,181.0,184.5,152.5,35,15,41
42,Stacey Bailey,ATL,WR,23,14,12,0,0,0,0,0,2,-5,-2.50,0,55,881,16.02,6,1,,6,,,123,177.6,181.1,150.1,33,16,42
43,Tony Hill,DAL,WR,27,12,9,0,0,0,0,0,1,2,2.00,0,49,801,16.35,7,1,,7,,,121,170.3,173.8,145.8,32,17,43
44,Brian Sipe,CLE,QB,34,15,14,291,496,3566,26,23,26,56,2.15,0,0,0,,0,6,,0,,,200,200.2,229.2,223.2,31,7,44
45,Doug Cosbie*,DAL,TE,27,16,16,0,0,0,0,0,0,0,,0,46,588,12.78,6,0,,6,,,95,140.8,143.8,117.8,29,5,45
46,Pete Johnson,CIN,FB,29,11,8,0,0,0,0,0,210,763,3.63,14,15,129,8.60,0,2,,14,,,171,186.2,193.2,178.7,28,17,46
47,Neil Lomax,STL,QB,24,13,13,209,354,2636,24,11,27,127,4.70,2,0,0,,0,9,,2,,,195,195.1,216.6,206.1,26,8,47
48,Henry Marshall,KAN,WR,29,13,9,0,0,0,0,0,0,0,,0,50,788,15.76,6,0,,6,,,115,164.8,167.8,139.8,25,18,48
49,Wes Chandler*,SDG,WR,27,16,14,0,0,0,0,0,2,25,12.50,0,58,845,14.57,5,3,,5,,,114,172.0,176.5,143.0,25,19,49
50,Charlie Joiner,SDG,WR,36,16,16,0,0,0,0,0,0,0,,0,65,960,14.77,3,2,,3,,,112,177.0,181.0,144.5,23,20,50
51,Doug Marsh,STL,TE,25,16,16,0,0,0,0,0,0,0,,0,32,421,13.16,8,1,,8,,,89,121.1,124.6,105.1,23,6,51
52,Ron Springs,DAL,FB,27,16,14,1,2,15,1,0,149,541,3.63,7,73,589,8.07,1,3,,8,,,163,235.6,243.1,199.1,19,18,52
53,Gerry Ellis,GNB,RB,26,15,14,2,5,31,1,1,141,696,4.94,4,52,603,11.60,2,7,,6,,,162,214.1,224.6,189.1,19,19,53
54,Franco Harris,PIT,FB,33,16,16,0,0,0,0,0,279,1007,3.61,5,34,278,8.18,2,10,,7,,,161,194.5,205.5,177.5,17,20,54
55,Kevin House,TAM,WR,26,16,16,0,0,0,0,0,1,-4,-4.00,0,47,769,16.36,5,0,,5,,,107,153.5,156.5,130.0,17,21,55
56,Billy Johnson*,ATL,WR,31,16,1,0,1,0,0,0,15,83,5.53,0,64,709,11.08,4,4,,5,,,105,169.2,174.2,137.2,16,22,56
57,Mike Barber,RAM,TE,30,16,16,0,0,0,0,0,0,0,,0,55,657,11.95,3,1,,3,,,83,137.7,141.2,110.2,16,7,57
58,Ron Jaworski,PHI,QB,32,16,16,235,446,3315,20,18,25,129,5.16,1,0,0,,0,11,,1,,,185,184.5,214.0,202.5,15,9,58
59,Art Monk,WAS,WR,26,12,11,1,1,46,0,0,3,-19,-6.33,0,47,746,15.87,5,0,,5,,,105,151.5,154.5,128.0,15,23,59
60,Leonard Thompson,DET,WR,31,13,12,0,0,0,0,0,4,72,18.00,1,41,752,18.34,3,2,,4,,,104,145.4,149.4,124.9,15,24,60
61,Wayne Wilson,NOR,FB,26,14,8,0,0,0,0,0,199,787,3.95,9,20,178,8.90,2,6,,11,,,157,176.5,185.5,166.5,13,22,61
62,Joe Washington,WAS,RB,30,15,1,0,1,0,0,0,145,772,5.32,0,47,454,9.66,6,2,,6,,,157,203.6,210.6,180.1,13,21,62
63,Cliff Branch,RAI,WR,35,12,12,0,0,0,0,0,1,20,20.00,0,39,696,17.85,5,0,,5,,,102,140.6,143.6,121.1,12,25,63
64,Emery Moorehead,CHI,TE,29,16,15,0,0,0,0,0,5,6,1.20,0,42,597,14.21,3,0,,3,,,78,120.3,123.3,99.3,12,8,64
65,Joe Ferguson,BUF,QB,33,16,16,281,508,2995,26,25,20,88,4.40,0,0,0,,0,3,,0,,,180,179.6,209.1,204.6,10,10,65
66,Pat Tilley,STL,WR,30,16,16,0,0,0,0,0,0,0,,0,44,690,15.68,5,1,,5,,,98,142.0,145.5,120.0,9,26,66
67,Hoby Brenner,NOR,TE,24,16,16,0,0,0,0,0,0,0,,0,41,574,14.00,3,0,,3,,,75,116.4,119.4,95.9,9,9,67
68,Lam Jones,NYJ,WR,25,14,6,0,0,0,0,0,4,10,2.50,0,43,734,17.07,4,2,,4,,,96,139.4,143.4,117.9,7,27,68
69,Stanley Morgan,NWE,WR,28,16,16,0,0,0,0,0,1,13,13.00,0,58,863,14.88,2,5,,2,,,95,152.6,158.1,123.6,5,28,69
70,Ulysses Norris,DET,TE,26,15,15,0,0,0,0,0,0,0,,0,26,291,11.19,7,0,,7,,,71,97.1,100.1,84.1,5,10,70
71,Ted Brown,MIN,FB,26,10,8,0,0,0,0,0,120,476,3.97,10,41,357,8.71,1,2,,11,,,147,188.3,195.3,167.8,4,23,71
72,Derrick Ramsey,2TM,TE,27,16,7,0,0,0,0,0,0,0,,0,24,335,13.96,6,0,,6,,,70,93.5,96.5,81.5,3,11,72
73,Cliff Stoudt,PIT,QB,28,16,15,197,381,2553,12,21,77,479,6.22,4,0,0,,0,10,,4,,,170,170.0,202.0,191.0,1,11,73
74,Nat Moore,MIA,WR,32,16,15,0,0,0,0,0,0,0,,0,39,558,14.31,6,1,,6,,,91,129.8,133.3,110.3,1,29,74
75,Dan Fouts*,SDG,QB,32,10,10,215,340,2975,20,15,12,-5,-0.42,1,0,0,,0,5,,1,,,170,169.5,190.0,184.5,,12,75
76,Dan Marino*,MIA,QB,22,11,9,173,296,2210,20,6,28,45,1.61,2,0,0,,0,5,,2,,,168,167.9,179.4,173.9,,13,76
77,Vince Ferragamo,RAM,QB,29,16,16,274,464,3276,22,23,22,17,0.77,0,0,0,,0,8,,0,,,167,166.7,196.7,189.7,,14,77
78,Richard Todd,NYJ,QB,30,16,16,308,518,3478,18,26,35,101,2.89,0,0,0,,0,5,,0,,,164,164.2,198.7,190.2,,15,78
79,Jim Plunkett,RAI,QB,36,14,13,230,379,2935,20,18,26,78,3.00,0,0,0,,0,7,,0,,,162,162.2,186.7,180.2,,16,
80,Jim McMahon,CHI,QB,24,14,13,175,295,2184,12,13,55,307,5.58,2,1,18,18.00,1,4,,3,,,156,156.9,177.9,169.4,,17,
81,Steve Grogan,NWE,QB,30,12,12,168,303,2411,15,12,23,108,4.70,2,1,-8,-8.00,0,4,,2,,,150,151.4,171.4,162.9,,18,
82,Mike Pagel,BAL,QB,23,15,15,163,328,2353,12,17,54,441,8.17,0,0,0,,0,4,,0,,,148,148.2,173.2,165.2,,19,
83,Dave Krieg,SEA,QB,25,9,8,147,243,2139,18,11,16,55,3.44,2,1,11,11.00,0,10,,2,,,144,145.2,164.2,155.7,,20,
84,George Rogers,NOR,RB,25,13,12,0,0,0,0,0,256,1144,4.47,5,12,69,5.75,0,8,,5,,,143,155.3,162.3,149.3,,24,
85,Matt Suhey,CHI,FB,25,16,13,1,1,74,1,0,149,681,4.57,4,49,429,8.76,1,5,,5,,,143,192.0,200.5,167.5,,26,
86,Wendell Tyler,SFO,RB,28,14,14,0,0,0,0,0,176,856,4.86,4,34,285,8.38,2,7,,6,,,143,177.1,186.6,160.1,,25,
87,Jack Thompson,TAM,QB,27,14,13,249,423,2906,18,21,26,27,1.04,0,0,0,,0,10,,0,,,139,138.9,167.9,159.9,,21,
88,Butch Woolfolk,NYG,RB,23,16,16,0,0,0,0,0,246,857,3.48,4,28,368,13.14,0,8,,4,,,139,166.5,176.5,152.5,,27,
89,Eric Hipple,DET,QB,26,16,16,204,387,2577,12,18,41,171,4.17,3,0,0,,0,12,,3,,,138,138.2,168.2,156.2,,22,
90,Tony Nathan,MIA,RB,27,16,12,3,4,46,0,0,151,685,4.54,3,52,461,8.87,1,2,,4,,,138,190.4,197.4,164.4,,28,
91,James Wilder,TAM,FB,25,10,10,0,0,0,0,0,161,640,3.98,4,57,380,6.67,2,1,,6,,,137,194.0,200.5,165.5,,29,
92,Ken Anderson,CIN,QB,34,13,13,198,297,2333,12,13,22,147,6.68,1,0,0,,0,4,,1,,,132,132.0,153.0,145.0,,23,
93,James Jones,DET,FB,22,14,14,0,2,0,0,0,135,475,3.52,6,46,467,10.15,1,4,,7,,,132,178.2,186.2,155.2,,30,
94,Randy McMillan,BAL,FB,25,16,16,0,0,0,0,0,198,802,4.05,5,24,195,8.13,1,5,,6,,,131,154.7,163.2,142.7,,31,
95,Darrin Nelson,MIN,RB,24,15,10,0,0,0,0,0,154,642,4.17,1,51,618,12.12,0,5,,1,,,127,178.0,186.5,152.5,,32,
96,Walter Abercrombie,PIT,RB,24,15,13,0,0,0,0,0,112,446,3.98,4,26,391,15.04,3,2,,7,,,124,149.7,156.7,136.7,,33,
97,Rob Carpenter,NYG,FB,28,10,10,0,0,0,0,0,170,624,3.67,4,26,258,9.92,2,2,,6,,,122,148.2,155.2,135.2,,34,
98,Andra Franklin,MIA,FB,24,15,12,0,0,0,0,0,224,746,3.33,8,0,0,,0,6,,8,,,117,116.6,122.6,116.6,,35,
99,Steve Dils,MIN,QB,28,16,12,239,444,2840,11,16,16,28,1.75,0,0,0,,0,13,,0,,,115,115.4,140.9,131.4,,24,
100,Tony Galbreath,MIN,FB,29,13,7,0,0,0,0,0,113,474,4.19,4,45,348,7.73,2,4,,6,,,114,159.2,167.2,136.7,,36,
101,Frank Hawkins,RAI,RB,24,16,2,0,0,0,0,0,110,526,4.78,6,20,150,7.50,2,2,,8,,,114,133.6,140.6,123.6,,37,
102,Freeman McNeil,NYJ,RB,24,9,9,1,1,5,1,0,160,654,4.09,1,21,172,8.19,3,4,,4,,,107,127.8,135.8,117.3,,38,
103,Sammy Winder,DEN,RB,24,14,13,0,0,0,0,0,196,757,3.86,3,23,150,6.52,0,7,,3,,,102,124.7,134.2,113.2,,39,
104,Gerald Riggs,ATL,RB,23,14,0,0,0,0,0,0,100,437,4.37,8,17,149,8.76,0,7,,8,,,100,116.6,126.1,108.1,,40,
105,Hubie Oliver,PHI,FB,26,16,16,0,0,0,0,0,121,434,3.59,1,49,421,8.59,2,5,,3,,,99,147.5,156.0,123.0,,41,
106,Mosi Tatupu,NWE,RB,28,16,1,0,0,0,0,0,106,578,5.45,4,10,97,9.70,1,1,,5,,,97,106.5,110.0,101.5,,42,
