Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
107,Bruce Harper,NYJ,RB,28,9,2,0,0,0,0,0,51,354,6.94,1,48,413,8.60,2,1,,3,,,94,141.7,148.2,117.7,,43,
108,Frank Pollard,PIT,RB,26,16,3,0,0,0,0,0,135,608,4.50,4,16,127,7.94,0,5,,4,,,93,108.5,117.0,100.5,,44,
109,Scott Brunner,NYG,QB,26,16,12,190,386,2516,9,22,26,64,2.46,0,0,0,,0,8,,0,,,91,91.0,120.0,113.0,,25,
110,Steve DeBerg,DEN,QB,29,10,5,119,215,1617,9,7,13,28,2.15,1,0,0,,0,5,,1,,,90,90.5,103.0,97.5,,26,
111,Freddie Solomon,SFO,WR,30,13,11,0,0,0,0,0,1,3,3.00,0,31,662,21.35,4,1,,4,,,90,120.5,124.0,105.0,,30,
112,Stephone Paige,KAN,WR,22,16,0,0,0,0,0,0,0,0,,0,30,528,17.60,6,1,,6,,,88,117.8,121.3,102.8,,31,
113,Calvin Sweeney,PIT,WR,28,16,16,0,0,0,0,0,1,-2,-2.00,0,39,577,14.79,5,0,,5,,,88,126.5,129.5,107.0,,32,
114,Jeff Chadwick,DET,WR,23,16,4,0,0,0,0,0,0,0,,0,40,617,15.43,4,0,,4,,,86,125.7,128.7,105.7,,33,
115,Boyce Green,CLE,RB,23,13,2,0,0,0,0,0,104,497,4.78,3,25,167,6.68,1,4,,4,,,86,111.4,119.4,98.9,,45,
116,George Farmer,RAM,WR,25,16,16,0,0,0,0,0,1,-9,-9.00,0,40,556,13.90,5,0,,5,,,85,124.7,127.7,104.7,,34,
117,James Brooks,SDG,RB,25,15,6,0,0,0,0,0,127,516,4.06,3,25,215,8.60,0,8,,3,,,83,108.1,118.1,95.6,,47,
118,Billy Jackson,KAN,RB,24,16,14,0,0,0,0,0,152,499,3.28,2,32,243,7.59,0,3,,2,,,83,115.2,122.7,99.2,,46,
119,Drew Pearson,DAL,WR,32,14,13,0,1,0,0,1,2,13,6.50,0,47,545,11.60,5,1,,5,,,83,129.8,134.3,107.3,,35,
120,John Elway,DEN,QB,23,11,10,123,259,1663,7,14,28,146,5.21,1,0,0,,0,6,,1,,,81,81.1,104.1,95.1,,27,
121,Timmy Newsome,DAL,RB,25,16,0,0,0,0,0,0,44,185,4.20,2,18,250,13.89,4,0,,6,,,80,97.5,103.5,88.5,,48,
122,Paul Johns,SEA,WR,25,11,9,0,0,0,0,0,2,12,6.00,0,34,486,14.29,4,1,,5,,,79,112.8,116.3,95.8,,36,
123,Gerald Carter,TAM,WR,26,16,9,0,0,0,0,0,1,0,0.00,0,48,694,14.46,2,3,,2,,,78,126.4,130.9,102.4,,37,
124,Rick Upchurch,DEN,WR,31,12,11,0,2,0,0,0,6,19,3.17,0,40,639,15.98,2,0,,2,,,78,117.8,120.8,97.8,,38,
125,Preston Dennard,RAM,WR,28,14,13,0,0,0,0,0,0,0,,0,33,465,14.09,5,0,,5,,,77,109.5,112.5,93.0,,40,
126,Bobby Jones,CLE,WR,28,15,11,0,0,0,0,0,1,19,19.00,0,36,507,14.08,4,0,,4,,,77,112.6,115.6,94.6,,39,
127,Hokie Gajan,NOR,FB,24,16,12,0,1,0,0,0,81,415,5.12,4,17,130,7.65,0,3,,4,,,76,92.5,100.0,84.0,,49,
128,Harold Carmichael,PHI,WR,34,15,11,1,1,45,1,0,0,0,,0,38,515,13.55,3,0,,3,,,75,113.3,116.3,94.3,,41,
129,Butch Johnson,DAL,WR,29,16,5,0,0,0,0,0,1,0,0.00,0,41,561,13.68,3,0,,3,,,74,115.1,118.1,94.6,,42,
130,Dave Logan,CLE,WR,29,16,13,0,0,0,0,0,0,0,,0,37,627,16.95,2,1,,2,,,74,110.7,114.2,92.2,,43,
131,Ken Stabler,NOR,QB,38,14,14,176,311,1988,9,18,9,-14,-1.56,0,0,0,,0,4,,0,,,74,74.1,97.1,92.1,,28,
132,Bobby Duckworth,SDG,WR,25,16,2,0,0,0,0,0,0,0,,0,20,422,21.10,5,0,,5,,,72,92.2,95.2,82.2,,44,
133,James Owens,TAM,RB,28,12,5,0,0,0,0,0,96,266,2.77,5,15,81,5.40,1,0,,6,,,71,85.7,88.7,78.2,,50,
134,Byron Franklin,BUF,WR,25,15,5,0,0,0,0,0,1,3,3.00,0,30,452,15.07,4,0,,4,,,70,99.5,102.5,84.5,,45,
135,Jim Zorn,SEA,QB,30,16,8,103,205,1166,7,7,30,71,2.37,1,0,0,,0,4,,1,,,70,69.7,81.7,76.7,,29,
136,Isaac Curtis,CIN,WR,33,16,16,0,0,0,0,0,0,0,,0,42,571,13.60,2,1,,2,,,68,110.1,113.6,89.1,,46,
137,Vince Evans,CHI,QB,28,9,3,76,145,1108,5,7,22,142,6.45,1,0,0,,0,4,,1,,,67,66.5,81.5,73.5,,30,
138,Eddie Lee Ivery,GNB,RB,26,8,8,2,2,50,0,0,86,340,3.95,2,16,139,8.69,1,1,,3,,,67,82.9,89.4,74.9,,51,
139,Frank Lewis,BUF,WR,36,11,11,0,0,0,0,0,0,0,,0,36,486,13.50,3,0,,3,,,67,102.6,105.6,84.6,,47,
140,Dan Doornink,SEA,FB,27,16,0,0,0,0,0,0,40,99,2.48,2,24,328,13.67,2,1,,4,,,66,89.7,93.2,77.7,,53,
141,Bernard Henry,BAL,WR,23,15,7,0,0,0,0,0,0,0,,0,30,416,13.87,4,0,,4,,,66,95.6,98.6,80.6,,49,
142,Nathan Poole,DEN,FB,27,16,10,0,0,0,0,0,81,246,3.04,4,20,184,9.20,0,1,,4,,,66,86.0,92.5,76.0,,52,
143,Dan Ross,CIN,TE,26,16,15,0,0,0,0,0,0,0,,0,42,483,11.50,3,0,,3,,,66,108.3,111.3,87.3,,12,
144,Sammy White,MIN,WR,29,11,10,0,0,0,0,0,1,7,7.00,0,29,412,14.21,4,0,,4,,,66,94.9,97.9,80.4,,48,
145,Jessie Clark,GNB,RB,23,16,0,0,0,0,0,0,71,328,4.62,0,18,279,15.50,1,2,,1,,,65,82.7,89.7,73.7,,55,
146,Robert Weathers,NWE,RB,23,15,4,0,0,0,0,0,73,418,5.73,1,23,212,9.22,0,4,,1,,,65,88.0,96.0,76.5,,54,
147,Charle Young,SEA,TE,32,16,16,0,0,0,0,0,0,0,,0,36,529,14.69,2,1,,2,,,64,99.9,103.4,81.9,,13,
148,Jeff Groth,NOR,WR,26,16,14,0,0,0,0,0,1,15,15.00,0,49,585,11.94,1,3,,1,,,63,112.0,116.5,87.5,,50,
149,Mike Guman,RAM,FB,25,16,13,0,0,0,0,0,7,42,6.00,0,34,347,10.21,4,0,,4,,,63,96.9,99.9,79.9,,56,
150,Eric Sievers,SDG,TE,26,16,8,0,0,0,0,0,1,-7,-7.00,0,33,452,13.70,3,0,,3,,,63,95.5,98.5,79.0,,14,
151,Marc Wilson,RAI,QB,26,10,3,67,117,864,8,6,13,122,9.38,0,0,0,,0,4,,0,,,63,62.8,76.8,68.8,,31,
152,Anthony Hancock,KAN,WR,23,16,7,0,0,0,0,0,0,0,,0,37,584,15.78,1,2,,1,,,62,99.4,103.4,80.9,,51,
153,Steve Kreider,CIN,WR,25,16,2,0,1,0,0,0,1,2,2.00,0,42,554,13.19,1,0,,1,,,62,103.6,106.6,82.6,,52,
154,Oliver Luck,HOU,QB,23,7,6,124,217,1375,8,13,17,55,3.24,0,0,0,,0,5,,0,,,62,61.5,80.0,74.5,,34,
155,Ed Luther,SDG,QB,26,16,6,151,287,1875,7,17,9,-14,-1.56,0,0,0,,0,6,,0,,,62,61.6,84.6,78.6,,33,
156,Turk Schonert,CIN,QB,26,9,3,92,156,1159,2,5,29,117,4.03,2,0,0,,0,6,,2,,,62,62.1,76.1,67.1,,32,
157,Mel Carver,TAM,RB,24,16,9,0,0,0,0,0,114,348,3.05,0,32,262,8.19,1,6,,1,,,61,93.0,102.0,77.0,,57,
158,Eugene Goodlow,NOR,WR,25,16,7,0,0,0,0,0,1,3,3.00,0,41,487,11.88,2,0,,2,,,61,102.0,105.0,81.5,,53,
159,Dennis McKinnon,CHI,WR,22,16,4,0,0,0,0,0,0,0,,0,20,326,16.30,4,2,,5,,,61,80.6,84.6,70.6,,54,
160,David Overstreet,MIA,RB,25,14,0,0,0,0,0,0,85,392,4.61,1,8,55,6.88,2,2,,3,,,61,68.7,72.7,64.7,,58,
161,Willie Scott,KAN,TE,24,16,16,0,0,0,0,0,1,1,1.00,0,29,247,8.52,6,0,,6,,,61,89.8,92.8,75.3,,15,
162,Harry Holt,CLE,TE,26,15,11,0,0,0,0,0,3,8,2.67,0,29,420,14.48,3,1,,3,,,60,88.8,92.3,74.3,,17,
163,Tony Hunter,BUF,TE,23,13,3,0,0,0,0,0,2,28,14.00,0,36,402,11.17,3,1,,3,,,60,96.0,99.5,78.0,,16,
164,Malcolm Barnwell,RAI,WR,25,16,16,0,0,0,0,0,1,12,12.00,0,35,513,14.66,1,0,,1,,,59,93.5,96.5,76.0,,55,
165,Bennie Cunningham,PIT,TE,29,16,16,0,0,0,0,0,0,0,,0,35,442,12.63,3,4,,3,,,58,93.2,98.2,75.7,,18,
166,Russ Francis,SFO,TE,30,16,16,0,0,0,0,0,0,0,,0,33,357,10.82,4,2,,4,,,58,90.7,94.7,74.2,,19,
167,Gerald Willhite,DEN,RB,24,8,0,0,1,0,0,0,43,188,4.37,3,14,153,10.93,1,0,,4,,,58,72.1,78.1,65.1,,59,
168,Scott Dierking,NYJ,RB,28,16,1,0,0,0,0,0,28,113,4.04,3,33,275,8.33,0,0,,3,,,57,89.8,95.8,73.3,,61,
169,Mark van Eeghen,NWE,FB,31,15,11,0,0,0,0,0,95,358,3.77,2,10,102,10.20,0,1,,2,,,57,67.0,73.5,62.0,,60,
170,Clarence Weathers,NWE,WR,21,16,0,0,0,0,0,0,1,28,28.00,0,19,379,19.95,3,2,,3,,,57,75.7,79.7,66.2,,56,
171,Jerry Butler,BUF,WR,26,9,9,0,0,0,0,0,0,0,,0,36,385,10.69,3,1,,3,,,56,91.5,95.0,73.5,,57,
172,Chris Dressel,HOU,TE,22,16,14,0,0,0,0,0,1,3,3.00,0,32,316,9.88,4,0,,4,,,56,87.9,90.9,71.9,,20,
173,Stump Mitchell,STL,RB,24,15,1,0,0,0,0,0,68,373,5.49,3,7,54,7.71,0,5,,3,,,56,62.7,68.2,59.2,,62,
174,Michael Haddix,PHI,RB,22,14,8,0,0,0,0,0,91,220,2.42,2,23,254,11.04,0,4,,2,,,55,78.4,86.4,66.9,,63,
175,Alfred Jenkins,ATL,WR,31,10,10,0,0,0,0,0,0,0,,0,38,487,12.82,1,0,,1,,,55,92.7,95.7,73.7,,58,
