Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
306,David Lewis,DET,TE,25,11,7,0,0,0,0,0,0,0,,0,10,88,8.80,1,0,,1,,,15,24.8,24.8,19.8,,49,
307,Mike Tice,SEA,TE,27,16,15,0,0,0,0,0,0,0,,0,15,150,10.00,0,0,,0,,,15,30.0,33.0,22.5,,48,
308,Scott Williams,DET,RB,24,16,0,0,0,0,0,0,13,22,1.69,2,2,9,4.50,0,0,,2,,,15,17.1,17.1,16.1,,108,
309,Chuck Banks,HOU,RB,22,13,3,0,0,0,0,0,29,80,2.76,0,7,71,10.14,0,1,,0,,,14,21.1,21.6,17.6,,110,
310,Bubby Brister,PIT,QB,24,2,2,21,60,291,0,2,6,10,1.67,1,0,0,,0,1,,1,,,14,13.6,16.1,15.6,,53,
311,Charles Crawford,PHI,RB,22,16,5,0,0,0,0,0,28,88,3.14,1,0,0,,0,1,,1,,,14,13.8,14.3,13.8,,111,
312,Herbert Harris,NOR,WR,25,7,1,0,0,0,0,0,0,0,,0,11,148,13.45,0,1,,0,,,14,24.8,28.3,19.3,,100,
313,Rusty Hilger,RAI,QB,24,2,0,19,38,266,1,1,6,48,8.00,0,0,0,,0,3,,0,,,14,14.4,16.9,15.4,,52,
314,Pete Mandley,DET,WR,25,16,0,0,0,0,0,0,0,0,,0,7,106,15.14,0,3,,1,,,14,20.6,25.1,17.1,,101,
315,Wayne Capers,IND,WR,25,6,3,0,0,0,0,0,1,11,11.00,0,9,118,13.11,0,0,,0,,,13,21.9,24.9,17.4,,102,
316,Mark Lewis,GNB,TE,25,16,1,0,0,0,0,0,0,0,,0,2,7,3.50,2,0,,2,,,13,14.7,14.7,13.7,,50,
317,Chuck Long,DET,QB,23,3,2,21,40,247,2,2,2,0,0.00,0,0,0,,0,1,,0,,,13,12.9,15.4,14.9,,55,
318,Don Strock,MIA,QB,36,16,0,14,20,152,2,0,1,0,0.00,0,0,0,,0,1,,0,,,13,13.1,13.6,13.1,,54,
319,Robert Weathers,NWE,RB,26,5,0,0,0,0,0,0,21,58,2.76,1,1,14,14.00,0,0,,1,,,13,14.2,14.2,13.7,,112,
320,Jerry Bell,TAM,TE,27,10,3,0,0,0,0,0,0,0,,0,10,120,12.00,0,0,,0,,,12,22.0,25.0,17.0,,52,
321,Kelvin Edwards,NOR,WR,22,14,3,0,0,0,0,0,1,6,6.00,0,10,132,13.20,0,2,,0,,,12,21.8,25.8,16.8,,105,
322,Tom Flick,SDG,QB,28,11,3,33,73,361,2,8,6,5,0.83,1,0,0,,0,1,,1,,,12,11.9,23.4,19.9,,56,
323,Chas Fox,STL,WR,23,4,3,0,0,0,0,0,0,0,,0,5,59,11.80,1,0,,1,,,12,16.9,16.9,14.4,,104,
324,Dave Little,PHI,TE,25,16,5,0,0,0,0,0,0,0,,0,14,132,9.43,0,1,,0,,,12,26.2,29.7,19.2,,51,
325,Jimmy Teal,BUF,WR,24,5,1,0,0,0,0,0,0,0,,0,6,60,10.00,1,0,,1,,,12,18.0,18.0,15.0,,103,
