Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
49,Aaron Brooks,NOR,QB,28,16,16,309,542,3810,21,16,58,173,2.98,4,1,1,1,1.00,0,13,2,4,,1,244,244.8,268.8,260.3,25,8,49
50,Randy Moss,MIN,WR,27,13,13,1,2,37,0,1,0,0,,0,86,49,767,15.65,13,1,1,13,,,152,201.2,206.2,177.7,25,19,50
51,Jermaine Wiggins,MIN,TE,29,14,13,0,0,0,0,0,0,0,,0,92,71,705,9.93,4,1,,4,,,95,165.5,168.5,130.0,25,7,51
52,Ashley Lelie,DEN,WR,24,16,16,0,0,0,0,0,3,5,1.67,0,101,54,1084,20.07,7,0,,7,,,151,204.9,207.9,177.9,24,21,52
53,Jimmy Smith,JAX,WR,35,16,16,0,0,0,0,0,0,0,,0,137,74,1172,15.84,6,2,1,6,,,151,225.2,229.2,188.2,24,20,53
54,Thomas Jones,CHI,RB,26,14,14,0,0,0,0,0,240,948,3.95,7,72,56,427,7.63,0,2,1,7,,,178,233.5,240.5,205.5,23,18,54
55,Eric Johnson,SFO,TE,25,16,14,0,0,0,0,0,0,0,,0,117,82,825,10.06,2,1,1,2,,,93,174.5,178.5,133.5,23,8,55
56,Drew Brees*,SDG,QB,25,15,15,262,400,3159,27,7,53,85,1.60,2,1,1,38,38.00,0,7,2,2,,,241,241.7,253.7,248.2,22,9,56
57,Deuce McAllister,NOR,RB,26,14,14,0,0,0,0,0,269,1074,3.99,9,48,34,228,6.71,0,5,4,9,,,176,210.2,220.2,193.2,22,19,57
58,Andre Johnson*,HOU,WR,23,16,16,0,0,0,0,0,4,12,3.00,0,138,79,1142,14.46,6,1,1,6,,,149,228.4,232.4,188.9,22,22,58
59,Jerry Porter,OAK,WR,26,16,16,0,0,0,0,0,1,-4,-4.00,0,136,64,998,15.59,9,2,2,9,,,149,213.4,218.4,181.4,22,23,59
60,Marc Bulger,STL,QB,27,14,14,321,485,3964,21,14,19,89,4.68,3,0,0,0,,0,5,4,3,,1,235,235.5,256.5,249.5,17,10,60
61,Fred Taylor,JAX,RB,28,14,14,0,0,0,0,0,260,1224,4.71,2,58,36,345,9.58,1,3,2,3,,,171,206.9,214.9,188.9,17,20,61
62,Lee Evans,BUF,WR,23,16,11,0,0,0,0,0,5,85,17.00,0,74,48,843,17.56,9,1,1,9,,,145,192.8,196.8,168.8,17,24,62
63,Chris Chambers,MIA,WR,26,15,15,0,0,0,0,0,9,76,8.44,0,140,69,898,13.01,7,1,1,7,1,,139,208.4,212.4,173.9,12,25,63
64,Kevin Jones,DET,RB,22,15,14,0,0,0,0,0,241,1133,4.70,5,41,28,180,6.43,1,2,1,6,,,165,193.3,200.3,179.3,11,21,64
65,Daniel Graham,NWE,TE,26,14,14,0,0,0,0,0,0,0,,0,48,30,364,12.13,7,0,,7,,,78,108.4,111.4,93.4,9,9,65
66,Bubba Franks,GNB,TE,26,16,14,0,0,0,0,0,0,0,,0,50,34,361,10.62,7,0,,7,,,78,112.1,115.1,95.1,9,10,66
67,Tom Brady*,NWE,QB,27,16,16,288,474,3692,28,14,43,28,0.65,0,0,0,0,,0,7,4,0,,,226,226.5,247.5,240.5,8,11,67
68,Nick Goings,CAR,RB,26,16,8,0,0,0,0,0,217,821,3.78,6,61,45,394,8.76,1,1,1,7,,,162,206.5,213.5,184.0,7,22,68
69,Emmitt Smith,ARI,RB,35,15,15,1,1,21,1,0,267,937,3.51,9,20,15,105,7.00,0,4,1,9,,,161,176.0,183.0,168.5,7,23,69
70,Eric Moulds,BUF,WR,31,16,16,0,0,0,0,0,5,19,3.80,0,152,88,1043,11.85,5,1,1,5,,,134,222.2,226.2,178.2,7,26,70
71,Hines Ward*,PIT,WR,28,16,16,0,0,0,0,0,7,25,3.57,1,108,80,1004,12.55,4,1,,5,,,133,212.9,215.9,172.9,6,27,71
72,Keyshawn Johnson,DAL,WR,32,16,16,0,2,0,0,1,2,13,6.50,0,124,70,981,14.01,6,1,1,6,,,131,201.4,206.4,167.4,4,28,72
73,Dallas Clark,IND,TE,25,15,13,0,0,0,0,0,0,0,,0,39,25,423,16.92,5,2,1,5,,,70,95.3,99.3,82.8,1,11,73
74,Michael Vick*,ATL,QB,24,15,15,181,321,2313,14,12,120,902,7.52,3,0,0,0,,0,16,7,3,,,219,218.7,243.7,230.7,,12,74
75,Matt Hasselbeck,SEA,QB,29,14,14,279,474,3382,22,15,27,90,3.33,1,0,0,0,,0,5,2,1,,2,208,208.3,228.3,223.3,,13,75
76,David Carr,HOU,QB,25,16,16,285,466,3531,16,14,73,299,4.10,0,0,0,0,,0,10,3,0,,,201,201.1,224.1,215.1,,14,76
77,Joey Harrington,DET,QB,26,16,16,274,489,3047,19,12,48,175,3.65,0,0,0,0,,0,6,3,0,,1,187,187.4,208.4,199.4,,15,77
78,Byron Leftwich,JAX,QB,24,14,14,267,441,2941,15,10,39,148,3.79,2,1,1,-7,-7.00,0,5,3,2,,4,186,186.7,205.7,196.2,,16,78
79,Kerry Collins,OAK,QB,32,14,13,289,513,3495,21,20,16,36,2.25,0,0,0,0,,0,7,3,0,,,181,181.4,207.4,201.4,,17,
80,Vinny Testaverde,DAL,QB,41,16,15,297,495,3532,17,20,21,38,1.81,1,0,0,0,,0,8,3,1,,1,175,175.1,201.1,195.1,,18,
81,Chad Pennington,NYJ,QB,28,13,13,242,370,2673,16,9,34,126,3.71,1,0,0,0,,0,5,2,1,,,168,167.5,184.5,176.5,,19,
82,Ben Roethlisberger,PIT,QB,22,14,13,196,295,2621,17,11,56,144,2.57,1,0,0,0,,0,2,2,1,,,167,167.2,186.2,178.2,,20,
83,Drew Bledsoe,BUF,QB,32,16,16,256,450,2932,20,16,22,37,1.68,0,0,0,0,,0,9,5,0,,,159,159.0,183.0,175.0,,21,
84,Carson Palmer,CIN,QB,25,13,13,263,432,2897,18,18,18,47,2.61,1,0,0,0,,0,2,2,1,,,159,158.6,181.6,176.6,,22,
85,Billy Volek,TEN,QB,28,10,8,218,357,2486,18,10,11,50,4.55,1,1,1,0,0.00,0,6,2,1,,,158,159.4,174.4,168.9,,23,
86,Brian Griese,TAM,QB,29,11,10,233,336,2632,20,12,30,17,0.57,0,1,1,-4,-4.00,0,6,4,0,,,155,155.6,174.6,167.1,,24,
87,Jamal Lewis,BAL,RB,25,12,12,0,0,0,0,0,235,1006,4.28,7,12,10,116,11.60,0,2,,7,,,154,164.2,170.2,159.2,,24,
88,Larry Johnson,KAN,RB,25,10,3,0,0,0,0,0,120,581,4.84,9,29,22,278,12.64,2,0,,11,,,152,173.9,179.9,162.9,,25,
89,Chris Brown,TEN,RB,23,11,11,0,0,0,0,0,220,1067,4.85,6,33,20,147,7.35,0,6,4,6,,,149,169.4,179.4,159.4,,26,
90,Kyle Boller,BAL,QB,23,16,16,258,464,2559,13,11,53,189,3.57,1,0,0,0,,0,11,7,1,,1,145,145.3,169.3,156.3,,25,
91,Kevan Barlow,SFO,RB,25,15,14,0,0,0,0,0,244,822,3.37,7,45,35,212,6.06,0,2,2,7,,,141,176.4,184.4,158.9,,27,
92,Josh McCown,ARI,QB,25,14,13,233,408,2511,11,10,36,112,3.11,2,1,1,-5,-5.00,0,12,5,2,1,,139,140.1,161.1,149.6,,26,
93,Marshall Faulk,STL,RB,31,14,14,0,0,0,0,0,195,774,3.97,3,65,50,310,6.20,1,2,1,4,2,,134,184.4,191.4,159.4,,28,
94,Derrick Blaylock,KAN,RB,25,12,5,0,0,0,0,0,118,539,4.57,8,36,25,246,9.84,1,0,,9,,,133,157.5,163.5,145.0,,29,
95,Julius Jones,DAL,RB,23,8,7,0,0,0,0,0,197,819,4.16,7,26,17,109,6.41,0,3,3,7,,,129,145.8,154.8,137.3,,30,
96,Roy Williams,DET,WR,23,14,12,0,1,0,0,0,1,1,1.00,0,118,54,817,15.13,8,1,1,8,,,128,181.8,185.8,154.8,,29,
97,Larry Fitzgerald,ARI,WR,21,16,16,0,0,0,0,0,8,14,1.75,0,115,58,780,13.45,8,1,,8,,,127,185.4,188.4,156.4,,30,
98,T.J. Houshmandzadeh,CIN,WR,27,16,13,0,0,0,0,0,6,51,8.50,0,108,73,978,13.40,4,0,,4,,,127,199.9,202.9,163.4,,31,
99,David Patten,NWE,WR,30,16,11,0,0,0,0,0,1,5,5.00,0,95,44,800,18.18,7,0,,7,,,123,166.5,169.5,144.5,,32,
100,Onterrio Smith,MIN,RB,24,11,6,0,0,0,0,0,124,544,4.39,2,45,36,394,10.94,2,2,1,4,1,,118,153.8,160.8,135.8,,31,
101,Santana Moss,NYJ,WR,25,15,14,0,0,0,0,0,6,18,3.00,0,78,45,838,18.62,5,2,,5,,,116,160.6,163.6,138.1,,33,
102,Marcus Robinson,MIN,WR,29,16,7,0,0,0,0,0,0,0,,0,79,47,657,13.98,8,1,,8,,,114,160.7,163.7,137.2,,34,
103,Steven Jackson,STL,RB,21,14,3,0,0,0,0,0,134,673,5.02,4,24,19,189,9.95,0,1,1,4,1,,110,129.2,136.2,119.7,,32,
104,Donte' Stallworth,NOR,WR,24,16,10,0,0,0,0,0,6,37,6.17,0,106,58,767,13.22,5,0,,5,,,110,168.4,171.4,139.4,,35,
105,Jeff Garcia,CLE,QB,34,11,10,144,252,1731,10,9,35,169,4.83,2,0,0,0,,0,9,7,2,,,106,106.1,128.1,115.1,,28,
106,Tim Rattay,SFO,QB,27,9,9,198,325,2169,10,10,12,55,4.58,0,0,0,0,,0,11,6,0,1,2,106,106.3,125.3,116.3,,27,
107,Keary Colbert,CAR,WR,22,15,15,0,0,0,0,0,0,0,,0,92,47,754,16.04,5,1,1,5,1,,105,152.4,156.4,128.9,,36,
108,David Givens,NWE,WR,24,15,12,0,0,0,0,0,0,0,,0,106,56,874,15.61,3,0,,3,,,105,161.4,164.4,133.4,,37,
109,Ronald Curry,OAK,WR,25,12,3,0,1,0,0,0,1,-3,-3.00,0,70,50,679,13.58,6,1,,6,,,104,153.6,156.6,128.6,,38,
110,Lee Suggs,CLE,RB,24,10,3,0,0,0,0,0,199,744,3.74,2,36,20,178,8.90,1,6,3,3,,,104,124.2,133.2,114.2,,33,
111,Antonio Bryant,2TM,WR,23,15,8,0,0,0,0,0,0,0,,0,99,58,812,14.00,4,1,1,4,,,103,161.2,165.2,132.2,,39,
112,Justin McCareins,NYJ,WR,26,16,16,0,0,0,0,0,2,-5,-2.50,0,90,56,770,13.75,4,3,,4,,,101,156.5,159.5,128.5,,40,
113,Sammy Morris,MIA,RB,27,13,8,0,0,0,0,0,132,523,3.96,6,28,22,124,5.64,0,1,,6,,,101,122.7,128.7,111.7,,34,
114,Plaxico Burress,PIT,WR,27,11,11,0,0,0,0,0,0,0,,0,59,35,698,19.94,5,1,,5,,,100,134.8,137.8,117.3,,41,
115,Johnnie Morton,KAN,WR,33,13,12,0,0,0,0,0,7,43,6.14,0,79,55,795,14.45,3,2,1,3,,,100,154.8,158.8,127.3,,42,
116,Chester Taylor,BAL,RB,25,16,4,0,0,0,0,0,160,714,4.46,2,38,30,184,6.13,0,1,1,2,,,100,129.8,136.8,114.8,,35,
117,Laveranues Coles,WAS,WR,27,16,16,0,0,0,0,0,3,-3,-1.00,0,168,90,950,10.56,1,1,1,1,,,99,188.7,192.7,143.7,,43,
118,Kurt Warner,NYG,QB,33,10,9,174,277,2054,6,4,13,30,2.31,1,0,0,0,,0,12,4,1,,,99,99.2,110.2,103.2,,29,
119,T.J. Duckett,ATL,RB,23,13,0,0,0,0,0,0,104,509,4.89,8,3,3,15,5.00,0,2,2,8,,,96,99.4,104.4,97.9,,36,
120,Rod Gardner,WAS,WR,27,16,14,0,3,0,0,0,3,7,2.33,0,106,51,650,12.75,5,0,,5,,,96,146.7,149.7,121.2,,45,
121,Eric Parker,SDG,WR,25,15,13,0,0,0,0,0,4,53,13.25,0,71,47,690,14.68,4,5,1,4,,,96,143.3,147.3,119.8,,44,
122,Brandon Lloyd,SFO,WR,23,13,13,0,0,0,0,0,0,0,,0,89,43,565,13.14,6,0,,6,1,,95,137.5,140.5,116.0,,46,
123,Dennis Northcutt,CLE,WR,27,16,11,0,0,0,0,0,8,19,2.38,0,94,55,806,14.65,2,2,1,2,,,93,147.5,151.5,120.0,,47,
124,A.J. Feeley,MIA,QB,27,11,8,191,356,1893,11,15,14,13,0.93,1,0,0,0,,0,10,5,1,,2,91,91.0,114.0,106.0,,30,
125,Duce Staley,PIT,RB,29,10,10,0,0,0,0,0,192,830,4.32,1,12,6,55,9.17,0,3,2,1,,,91,96.5,101.5,93.5,,37,
126,Antowain Smith,TEN,RB,32,13,4,0,0,0,0,0,137,509,3.72,4,26,22,169,7.68,0,2,1,4,,,90,111.8,118.8,100.8,,38,
127,Amos Zereoue,OAK,RB,28,15,6,0,0,0,0,0,112,425,3.79,3,48,39,284,7.28,0,1,1,3,,,87,125.9,132.9,106.4,,39,
128,Patrick Ramsey,WAS,QB,25,9,7,169,272,1665,10,11,10,19,1.90,0,0,0,0,,0,6,1,0,,,85,84.5,99.5,95.5,,31,
129,Steve McNair,TEN,QB,31,8,8,129,215,1343,8,9,23,128,5.57,1,0,0,0,,0,5,3,1,1,,83,82.5,100.5,91.5,,32,
130,Cedrick Wilson,SFO,WR,26,15,15,0,0,0,0,0,1,6,6.00,0,85,47,641,13.64,3,0,,3,,,83,129.7,132.7,106.2,,48,
131,Antwaan Randle El,PIT,WR,25,16,7,1,1,10,1,0,8,34,4.25,0,63,43,601,13.98,3,5,2,3,,,82,124.9,129.9,103.4,,49,
132,Joey Galloway,TAM,WR,33,10,7,0,0,0,0,0,2,19,9.50,0,53,33,416,12.61,5,3,,6,,,80,112.5,115.5,96.0,,51,
133,Peerless Price,ATL,WR,28,16,15,1,1,25,0,0,3,34,11.33,0,106,45,575,12.78,3,0,,3,,,80,124.9,127.9,102.4,,50,
134,Jabar Gaffney,HOU,WR,24,16,12,0,3,0,0,0,4,30,7.50,0,68,41,632,15.41,2,1,,2,,,78,119.2,122.2,98.7,,52,
135,William Green,CLE,RB,25,15,13,0,0,0,0,0,163,585,3.59,2,22,14,84,6.00,0,3,2,2,,,75,88.9,93.9,81.9,,40,
136,David Terrell,CHI,WR,25,16,15,0,0,0,0,0,3,10,3.33,0,90,42,699,16.64,1,1,1,1,,,75,116.9,120.9,95.9,,53,
137,Eddie George,DAL,RB,31,13,8,0,0,0,0,0,132,432,3.27,4,13,9,83,9.22,0,3,1,4,,,74,82.5,86.5,78.0,,42,
138,Dorsey Levens,PHI,RB,34,15,5,0,0,0,0,0,94,410,4.36,4,14,9,92,10.22,0,0,,4,,,74,83.2,86.2,78.7,,41,
139,Todd Pinkston,PHI,WR,27,16,16,0,0,0,0,0,0,0,,0,63,36,676,18.78,1,0,,1,,,74,109.6,112.6,91.6,,54,
140,Amani Toomer,NYG,WR,30,15,14,0,0,0,0,0,0,0,,0,107,51,747,14.65,0,1,1,0,,,73,123.7,127.7,98.2,,55,
141,Marty Booker,MIA,WR,28,15,15,1,1,48,0,0,1,-8,-8.00,0,105,50,638,12.76,1,0,,1,,,71,120.9,123.9,95.9,,57,
142,Az-Zahir Hakim,DET,WR,27,12,5,0,0,0,0,0,1,0,0.00,0,57,31,533,17.19,3,0,,3,,,71,102.3,105.3,86.8,,56,
143,LaMont Jordan,NYJ,RB,26,16,0,0,1,0,0,1,93,479,5.15,2,16,15,112,7.47,0,1,,2,,,69,84.1,91.1,77.6,,43,
144,Jeb Putzier,DEN,TE,25,16,5,0,0,0,0,0,0,0,,0,54,36,572,15.89,2,0,,2,,,69,105.2,108.2,87.2,,12,
145,L.J. Smith,PHI,TE,24,16,8,0,0,0,0,0,0,0,,0,54,34,377,11.09,5,0,,5,,,68,101.7,104.7,84.7,,13,
146,Jonathan Wells,HOU,RB,25,16,1,0,0,0,0,0,82,299,3.65,3,16,11,79,7.18,2,1,1,5,1,,68,78.8,82.8,73.3,,44,
147,Anquan Boldin,ARI,WR,24,10,9,0,0,0,0,0,1,3,3.00,0,104,56,623,11.13,1,1,1,1,,,67,122.6,126.6,94.6,,59,
148,Deion Branch,NWE,WR,25,9,9,0,0,0,0,0,0,0,,0,51,35,454,12.97,4,1,1,4,,,67,102.4,106.4,84.9,,58,
149,Chris Cooley,WAS,TE,22,16,9,0,0,0,0,0,0,0,,0,63,37,314,8.49,6,0,,6,,,67,104.4,107.4,85.9,,14,
150,Marcus Pollard,IND,TE,32,13,13,0,0,0,0,0,0,0,,0,41,29,309,10.66,6,0,,6,,,67,95.9,98.9,81.4,,15,
151,Mark Brunell,WAS,QB,34,9,9,118,237,1194,7,6,19,62,3.26,0,0,0,0,,0,6,3,0,,1,66,66.0,78.0,72.0,,33,
152,Kevin Faulk,NWE,RB,28,11,1,0,0,0,0,0,54,255,4.72,2,30,26,248,9.54,1,2,1,3,,,66,92.3,99.3,79.3,,46,
153,Tony Fisher,GNB,RB,25,16,0,1,1,8,1,0,65,224,3.45,0,44,38,277,7.29,2,1,,2,,,66,104.4,110.4,85.4,,45,
154,Tyrone Wheatley,OAK,RB,32,8,7,0,0,0,0,0,85,327,3.85,4,15,15,78,5.20,0,0,,4,,,65,79.5,82.5,72.0,,47,
155,Tatum Bell,DEN,RB,23,14,0,0,0,0,0,0,75,396,5.28,3,7,5,80,16.00,0,1,1,3,,,64,68.6,72.6,66.1,,49,
156,Doug Gabriel,OAK,WR,24,16,5,0,0,0,0,0,2,7,3.50,0,79,33,551,16.70,2,2,2,2,,,64,96.8,101.8,80.3,,60,
157,Travis Minor,MIA,RB,25,11,4,0,0,0,0,0,109,388,3.56,3,27,13,75,5.77,0,0,,3,,,64,77.3,80.3,70.8,,48,
158,Anthony Thomas,CHI,RB,27,12,2,0,0,0,0,0,122,404,3.31,2,23,17,132,7.76,0,1,1,2,,,64,80.6,87.6,72.1,,50,
159,Shaun McDonald,STL,WR,23,16,0,0,0,0,0,0,4,0,0.00,0,68,37,494,13.35,3,4,2,3,,,63,100.4,105.4,81.9,,61,
160,Moe Williams,MIN,RB,30,14,1,0,0,0,0,0,30,161,5.37,3,27,21,233,11.10,1,0,,4,,,63,84.4,90.4,73.9,,51,
161,Mewelde Moore,MIN,RB,22,10,3,0,1,0,0,0,65,379,5.83,0,32,27,238,8.81,0,0,,0,,,62,88.7,94.7,75.2,,52,
162,Jerome Pathon,NOR,WR,29,15,7,0,0,0,0,0,0,0,,0,67,34,581,17.09,1,1,1,1,,,62,96.1,100.1,79.1,,62,
163,Koren Robinson,SEA,WR,24,10,8,0,0,0,0,0,1,3,3.00,0,67,31,495,15.97,2,0,,2,,,62,92.8,95.8,77.3,,63,
164,Jerry Rice,2TM,WR,42,17,14,0,0,0,0,0,0,0,,0,64,30,429,14.30,3,0,,3,,,61,90.9,93.9,75.9,,64,
165,Michael Bennett,MIN,RB,26,11,7,0,0,0,0,0,70,276,3.94,1,23,21,207,9.86,1,1,,2,,,60,81.3,87.3,70.8,,53,
166,Curtis Conway,SFO,WR,33,16,5,0,0,0,0,0,0,0,,0,75,38,403,10.61,3,0,,3,1,,60,98.3,101.3,79.3,,65,
167,Bobby Engram,SEA,WR,31,13,7,0,0,0,0,0,0,0,,0,53,36,499,13.86,2,1,1,2,,,60,95.9,99.9,77.9,,66,
