Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,O.J. Simpson*+,BUF,RB,28,14,14,0,0,0,0,0,329,1817,5.52,16,28,426,15.21,7,7,,23,,,355,383.3,392.8,369.3,278,1,1
2,Chuck Foreman*+,MIN,RB,25,14,12,0,0,0,0,0,280,1070,3.82,13,73,691,9.47,9,12,,22,,,296,369.1,381.1,332.6,211,2,2
3,Lydell Mitchell*,BAL,RB,26,14,14,0,0,0,0,0,289,1193,4.13,11,60,544,9.07,4,5,,15,,,259,318.7,327.2,288.7,168,3,3
4,Fran Tarkenton*+,MIN,QB,35,14,14,273,425,2994,25,13,16,108,6.75,2,0,0,,0,1,,2,,,216,215.6,235.1,228.6,123,2,4
5,Ken Anderson*,CIN,QB,26,13,13,228,377,3169,21,11,49,188,3.84,2,0,0,,0,4,,2,,,216,215.6,234.6,226.6,123,1,5
6,Bert Jones,BAL,QB,24,14,14,203,344,2483,18,8,47,321,6.83,3,0,0,,0,1,,3,,,204,204.4,218.9,212.4,111,3,6
7,Franco Harris*,PIT,FB,25,14,14,0,0,0,0,0,262,1246,4.76,10,28,214,7.64,1,9,,11,,,203,231.0,241.5,217.0,104,4,7
8,Roger Staubach*,DAL,QB,33,13,13,198,348,2666,17,16,55,316,5.75,4,0,0,,0,5,,4,,,193,193.2,217.7,209.2,98,4,8
9,Mel Gray*+,STL,WR,27,14,14,0,0,0,0,0,1,6,6.00,0,48,926,19.29,11,1,,11,,,158,206.2,209.7,182.2,97,1,9
10,Terry Metcalf*,STL,RB,24,13,13,1,2,51,1,0,165,816,4.95,9,43,378,8.79,2,8,,13,,,195,238.4,248.4,216.9,96,5,10
11,Ken Burrough*,HOU,WR,27,14,14,0,0,0,0,0,0,0,,0,53,1063,20.06,8,1,,8,,,153,206.3,209.8,179.8,91,2,11
12,John Riggins*,NYJ,FB,26,14,14,0,0,0,0,0,238,1005,4.22,8,30,363,12.10,1,5,,9,,,186,215.8,224.3,200.8,85,6,12
13,Cliff Branch*+,OAK,WR,27,14,14,0,0,0,0,0,2,18,9.00,0,51,893,17.51,9,0,,9,,,145,196.1,199.1,170.6,82,3,13
14,Jim Braxton,BUF,FB,26,14,14,0,0,0,0,0,186,823,4.42,9,26,282,10.85,4,7,,13,,,182,207.5,217.0,194.5,80,7,14
15,Greg Pruitt,CLE,RB,24,14,14,0,0,0,0,0,217,1067,4.92,8,44,299,6.80,1,10,,9,,,181,224.6,235.6,202.6,79,8,15
16,Lynn Swann*,PIT,WR,23,14,12,0,0,0,0,0,3,13,4.33,0,49,781,15.94,11,4,,11,,,141,190.4,195.4,165.9,78,4,16
17,Joe Ferguson,BUF,QB,25,14,14,169,321,2426,25,17,23,82,3.57,1,0,0,,0,4,,1,,,173,173.2,195.2,190.2,75,5,17
18,Mike Thomas,WAS,RB,22,14,10,0,0,0,0,0,235,919,3.91,4,40,483,12.08,3,9,,7,,,173,213.2,223.7,193.2,70,9,18
19,Terry Bradshaw*,PIT,QB,27,14,14,165,286,2055,18,9,35,210,6.00,3,0,0,,0,6,,3,,,169,169.2,187.2,178.2,70,6,19
20,Isaac Curtis*,CIN,WR,25,14,14,0,0,0,0,0,6,-9,-1.50,0,44,934,21.23,7,1,,7,,,134,177.5,181.0,155.5,69,5,20
21,Pete Banaszak,OAK,RB,31,14,0,0,0,0,0,0,187,672,3.59,16,10,64,6.40,0,1,,16,,,169,178.6,182.1,173.6,65,10,21
22,Drew Pearson,DAL,WR,24,14,14,0,0,0,0,0,1,11,11.00,0,46,822,17.87,8,1,,8,,,130,176.3,179.8,153.3,65,6,22
23,Billy Kilmer,WAS,QB,36,12,12,178,346,2440,23,16,11,34,3.09,1,0,0,,0,3,,1,,,164,164.0,184.5,180.0,64,7,23
24,Frank Grant,WAS,WR,25,14,9,0,0,0,0,0,3,46,15.33,0,41,776,18.93,8,2,,8,,,128,169.2,173.2,148.7,63,7,24
25,Gene Washington,SFO,WR,28,14,14,0,1,0,0,0,1,-4,-4.00,0,44,735,16.70,9,1,,9,,,126,170.1,173.6,148.1,60,8,25
26,John Gilliam*,MIN,WR,30,14,14,0,0,0,0,0,3,35,11.67,0,50,777,15.54,7,1,,7,,,122,172.2,175.7,147.2,56,9,26
27,Harold Jackson*,RAM,WR,29,14,14,0,0,0,0,0,0,0,,0,43,786,18.28,7,1,,7,,,120,162.6,166.1,141.1,53,10,27
28,Rich Caster*,NYJ,TE,27,14,14,0,0,0,0,0,0,0,,0,47,820,17.45,4,0,,4,,,106,153.0,156.0,129.5,52,1,28
29,Alfred Jenkins,ATL,WR,23,14,14,0,0,0,0,0,0,0,,0,38,767,20.18,6,1,,6,,,112,149.7,153.2,130.7,44,11,29
30,Bob Chandler,BUF,WR,26,14,13,0,0,0,0,0,2,5,2.50,0,55,746,13.56,6,0,,6,,,111,166.1,169.1,138.6,43,12,30
31,Dave Hampton,ATL,RB,28,14,14,0,0,0,0,0,250,1002,4.01,5,21,195,9.29,1,8,,6,,,148,168.7,178.7,158.2,41,11,31
32,J.D. Hill,BUF,WR,27,14,13,0,0,0,0,0,1,1,1.00,0,36,667,18.53,7,0,,7,,,109,144.8,147.8,126.8,41,13,32
33,Randy Vataha,NWE,WR,27,14,14,0,0,0,0,0,1,4,4.00,0,46,720,15.65,6,0,,6,,,108,154.4,157.4,131.4,40,14,33
34,Jim Otis*,STL,FB,27,14,14,0,0,0,0,0,269,1076,4.00,5,12,69,5.75,1,5,,6,,,146,157.5,163.0,151.5,39,12,34
35,Don Nottingham,MIA,FB,26,14,13,0,0,0,0,0,168,718,4.27,12,9,66,7.33,0,5,,12,,,145,154.4,159.9,149.9,38,13,35
36,Harold Carmichael,PHI,WR,26,14,13,0,0,0,0,0,1,6,6.00,0,49,639,13.04,7,2,,7,,,105,153.5,157.5,129.0,36,15,36
37,Jim Hart*,STL,QB,31,14,14,182,345,2507,19,19,11,7,0.64,1,0,0,,0,7,,1,,,138,138.0,163.5,157.0,35,8,37
38,Charlie Joiner,CIN,WR,28,14,11,0,0,0,0,0,0,0,,0,37,726,19.62,5,1,,5,,,102,138.6,142.1,120.1,32,16,38
39,Nat Moore,MIA,WR,24,14,14,0,0,0,0,0,8,69,8.63,0,40,705,17.63,4,1,,4,,,100,140.4,143.9,120.4,31,17,39
40,Russ Francis,NWE,TE,22,14,11,0,0,0,0,0,0,0,,0,35,636,18.17,4,1,,4,,,87,121.6,125.1,104.1,30,2,40
41,Charle Young*,PHI,TE,24,14,14,0,0,0,0,0,2,1,0.50,0,49,659,13.45,3,0,,3,,,84,133.0,136.0,108.5,27,4,41
